File,registro,fecha,Unidad,proyecto,Solicitante,cantidad-solicitada,cantidad-subvencionada,Paises,Puntos-a,puntos-b,puntos-c,puntos-d
2007-3.csv,07-CAP3-1059,01/10/0007,D RELACIONES CULTURALES Y CIENTÍFICAS,REHABILITACIÓN PARCIAL DEL EDIFICIO UNED EN MÉXICO,UNED (ESPAÑA),347000,252000,Iberoamérica y Caribe: México,2,2,2,2
2007-3.csv,07-CAP3-1061,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Mejora de la salud maternoinfantil y actuación sobre la desnutrición infantil en la R.D. del Congo,MATRES MUNDI,447500,447500,África Subsahariana: Congo (República Democrática del Congo),2,2,2,2
2007-3.csv,07-CAP3-1063,01/10/0007,GABINETE TÉCNICO,"Manejo de la malnutrición aguda y asistencia sanitaria en los districtos de Bouza y Madaoua, región de Tahoua (NIGER)",ONG MÉDICOS SIN FRONTERAS,500000,500000,África Subsahariana: Níger,2,1.5,2,2
2007-3.csv,07-CAP3-1064,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",programa de capacitación e inversiones en la región de Mirdita (albania),APRODEL Asociación de Prefesionales del Desarrollo Local.,121570,121570,PECO y CEI: Albania,2.5,1,1.5,2.5
2007-3.csv,07-CAP3-1066,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL","Mejora y promoción de la educación primaria para niños y niñas en situación de riesgo en la localidad de Chiúre, Cabo Delgado, Mozambique (fase 2)",Fundación Madreselva,100600,100600,África Subsahariana: Mozambique,3,2,2,2
2007-3.csv,07-CAP3-1069,01/10/0007,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Simposio internacional Rehabilitación y Revitalización Urbana,"Col.legi d¿Aparelladors, Arquitectes Técnics i Enginyers d¿Edificació de Barcelona",60000,60000,Magreb y Oriente Medio: Argelia,3,1,2,3
2007-3.csv,07-CAP3-1070,01/10/0007,GABINETE TÉCNICO,"Sensibilización de la sociedad española sobre el impacto de la pobreza, la vulneración de derechos humanos y la labor de los actores de la Cooperación Española",Fundación Antisida España,39134,39134,Sin Determinar. General: España,3,2,2,1
2007-3.csv,07-CAP3-1071,0027/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Proyecto de mejora de las capacidades para oficiales del sector de justicia y los miembros del comité permanente del parlamento de las cuatro regiones de Etiopía.,JUSTICE FOR ALL PRISION FELLOWSHIP ETHIOPIA,100000,100000,África Subsahariana: Etiopía,3,2,2,1.5
2007-3.csv,07-CAP3-1072,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL","Creación de una metodología para la identificación y formulación de Programas Distritales de Desarrollo Socioeconómico específica para la Provincia de Cabo Delgado, y desarrollo de un caso modelo",Fundación Mundukide,63970,63970,África Subsahariana: Mozambique,3,2,2,2.5
2007-3.csv,07-CAP3-1074,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Casa Ernesto Sabato,Fundacion Ernesto Sabato,116000,85000,Iberoamérica y Caribe: Argentina,2,1.5,1.5,2.5
2007-3.csv,07-CAP3-1075,0028/9/7,D COOPERACIÓN CON AMÉRICA LATINA Y EL CARIBE,DESARROLLO SOCIAL Y DEMOCRACIA,INSTITUT ESTUDIS HUMANÍSTICS MIQUEL COLL I ALENTORN,29120,29120,Iberoamérica y Caribe: Chile,2.5,2,2,3
2007-3.csv,07-CAP3-1078,0027/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Explorando Estrategias para la reconciliación en el Líbano: abordando el pasado. Construyendo el futuro,Centro Internacional de Toledo para la Paz (CIT pax),30313,30313,Sin Determinar. General: España,3,1,1.5,2
2007-3.csv,07-CAP3-1080,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL","Construcción de un pozo, Depósito de Agua y canalización para el Centro de Salud Benito Menni en Dompoase (Ghana)",Sisters Hospitallers of the Sacred Heart of Jesus,15883,15883,África Subsahariana: Ghana,2,2,2,2
2007-3.csv,07-CAP3-1081,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL","Proyecto de control y prevención de de la malaria en escuelas del distrito de Busia, Kenia.",Fundación AMREF-España-AMREF-ESPAÑA,190167,190167,África Subsahariana: Kenia,2,2,2,3
2007-3.csv,07-CAP3-1082,0028/9/7,GABINETE TÉCNICO,"Prevención de la muerte y discapacidad materna suministrando servicios obstétricos de emergencia y salud reproductiva a retornados, desplazados internos y comunidades en post-conflicto en Terekeka",Fundación AMREF-España-AMREF-ESPAÑA,264212,264212,África Subsahariana: Sudán,3,2,2,1.5
2007-3.csv,07-CAP3-1083,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",FORMACIÓN DE LA MUJER MAURITANA AL MUNDO LABORAL (FMMAL),Cooperación Vicenciana para el Desarrollo-Acción Misionera Vicenciana de España - COVIDE-AMVE,66998,66998,Magreb y Oriente Medio: Mauritania,3,2,2,0.5
2007-3.csv,07-CAP3-1086,0028/9/7,GABINETE TÉCNICO,"AYUDA HUMANITARIA CON VIVIENDAS TEMPORALES Y MÓDULOS ESCOLARES PARA LOS DAMNIFICADOS POR EL TERREMOTO DEL 15 DE AGOSTO DEL 2007, EN LAS PROVINCIAS DE CHINCHA Y PISCO","Fundación Adra, Agencia Adventista Para El Desarrollo Y Recursos Asistenciales-ADRA",366549,366549,Iberoamérica y Caribe: Perú,2.5,1.5,1.5,2
